;Startup Name;Funding Date;Founding Date;City;Industry/Vertical;Sub-Vertical;Founders;Investors;Amount(in USD);Investment Stage
20;Jai Kisan;01/06/2020;2017;Mumbai;Fintech;A platform that caters the need of customers in rural areas;Arjun Ahluwalia, Adriel Maniego;Arkam Ventures, Nabventures;$3,937,000;Pre series A
21;Agro2o;01/06/2020;;New Delhi;Agritech;It develops products focused on making hydroponics-based farming;Yash Vyas;Mumbai Angels Network;Undisclosed;
22;GabbarDeals;01/06/2020;;Pune;Ecommerce;Online-to-Offline platforms for mobile phones & accessories;Niraj Raka, Poonam Gugale, Piyush Raka;Venture Catalysts;Undisclosed;
23;Crimson Healthcare;01/06/2020;2015;Delhi;Med Tech;It innovates cutting edge solutions for various problems in the healthcare system;Pranav Chopra, Neeraj Kumar;Mumbai Angels Network;$229,800;
24;Biomoneta;01/06/2020;;Bangalore;Life sciences;It develops germicidal technologies;Dr Janani Venkatraman;Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani;Undisclosed;Seed Round
25;Edvizo;01/06/2020;;Bangalore;Edtech;Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation;Ravi Nishant;Inflection Point Ventures;$150,000;Seed Round
26;Servify;01/06/2020;;Mumbai;SaaS;Operates device management and support platform;Sreevathsa Prabhakar;Iron Pillar, Blume Ventures;$11,370,000;Series C
27;Drum Food;01/06/2020;;Mumbai;Food;It runs yoghurt brand Epigamia;Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.;Danone Manifesto, Mousse Partners;$5,305,000;
28;Innoviti;01/06/2020;2002;Bangalore;SaaS;Digital payments solutions company;Rajeev Agrawal;Entrepreneurial Development Bank, Bessemer Venture Partners;Undisclosed;Series C
29;Jiffy ai;01/06/2020;2018;;AI;Enterprise automation startup;Babu Sivadasan;Nexus Venture Partners;$18,000,000;Series A
30;Postman;01/06/2020;2014;;Tech;API development platform startup;Abhijit Kane, Abhinav Asthana, Ankit Sobti;Insight Partners;$150,000,000;Series C
31;Waycool;01/06/2020;2015;Chennai;Agritech;Food development and distribution services;Karthick Jayraman, Sanjay Dasari;Induslnd Bank;$5,500,000;Series C
32;Myelin Foundry;01/06/2020;2019;;Deep Tech AI;It builds AI based algorithms on video, voice and sensor;Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.;Pratithi;Undisclosed;
33;Hapramp;01/06/2020;2018;Gurugram;Blockchain;Startup working on technologies like blockchain and social media;Shubhendra Vikram, Ankit Kumar;Anand Mahindra;$1,000,000;
34;MyKaam;01/06/2020;2016;Bangalore;HrTech;Online job searching and recruiting platform;Ashish Gupta;Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg;Undisclosed;
35;HealthPlix;01/06/2020;2016;Bangalore;Healthtech;It provides clinical software for doctors;Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda;JSW Ventures, Chiratae Ventures, Kalaari Capital;$6,000,000;Series B
36;YoloBus;01/06/2020;2019;Gurugram;Mobility/Transport;Intercity bus service startup;Shailesh Gupta, Mukul Shah;Nexus Venture Partners;$3,300,000;Series A
37;iNurture Education;01/06/2020;;;Edtech;It provides a conducive and healthy teaching, learning environment;Ashwin Ajila;Kimera Ltd;$4,000,000;
38;Pocket52;01/06/2020;2017;Bangalore;Gaming;An online poker playing platform;Nitesh Salvi;Gameskraft;$1,750,000;Series A
39;QuaQua;01/06/2020;2016;Hyderabad;Travel;Virtual travel guide platform;Purav Shah, Sandesh Reddy;Anthill Ventures;$1,000,000;
40;Crofarm;01/06/2020;2016;Delhi;Agritech;Supply chain that supports farmers and provides businesses with freshest produce;Prashant Jain, Varun Khurana;Smile group;$1,000,000;
41;Timios;01/06/2020;;Bangalore;Foodtech;Provides healthy snacks for kids;Aswani Chaitanya;Rangsons Technologies;Undisclosed;Pre series A
42;Wooden Street;01/06/2020;2015;Jaipur;Ecommerce;It enables to order custom furniture online;Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti;IAN Fund;$3,000,000;Series A
43;BankBazaar;01/06/2020;2008;Chennai;Fintech;Online marketplace that gives customers instant customised offers on loans and credit cards;Adhil Shetty, Arjun Shetty, Rati Shetty,;WSV Capital;$5,967,000;Series D1
44;Rentmojo;01/06/2020;2012;Bangalore;Rental;Rental platform for furniture, appliances & electronics;Geetansh Bamania;Gautam Dalmia, Pratithi Investment Trust, Shri Investment;$2,980,000;
45;Credgencies;01/06/2020;2018;;AI & Debt;Tech-enabled platform for resolution of non-performing assets;Rishabh Goel, Anand Agrawal, Mayank Khera;Titan Capital;Undiclsosed;Seed round
46;Knorish;01/06/2020;;Delhi;SaaS/Edtech;All-in-one knowledge commerce SaaS platform;Kinner N Sacchdev, Rakhi Wadhwa;100x VC;$323,000;Pre series A
47;LetsTransport;01/06/2020;2015;Bangalore;Logitech;Offers techno logistics solutions;Pushkar Singh, Sudarshan Ravi, Ankit Parasher;Black Soil;$1,326,000;
48;Vahak;01/06/2020;2017;;Transport;It enables logistic companies to conncet with transporters;Karan Shaha, Vikas Chandrawat;Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran;Undisclosed;Seed round
49;Nutrova;01/06/2020;2013;Mumbai;Nutrition;Nutraceutical company developing evidence-based nutrition and nutraceutical products,;Akshay Pai;DSG Consumer Partners;Undisclosed;Pre series A
50;Cube Wealth;01/06/2020;2018;Mumbai;SaaS;A digital wealth management services;Satyen Kothari, Beenext, Asuka Holding;Beenext, Asuka Holding;$500,000;Mid series
